sessionId,sampleIndex,action,source,x,y,eventTimeNs
4,7503,MOVE,historical,811.7002,1762.0,740925988796000
4,7504,MOVE,current,812.5205,1761.6045,740925990064735
4,7505,MOVE,historical,817.0996,1759.2998,740925996956000
4,7506,MOVE,current,818.03906,1758.831,740925998374369
4,7507,MOVE,historical,822.0996,1756.9004,740926005739000
4,7508,MOVE,current,822.6416,1756.6396,740926006690622
4,7509,MOVE,historical,826.9004,1754.4004,740926014215000
4,7510,MOVE,current,827.34863,1754.166,740926015007061
4,7511,MOVE,historical,831.0,1752.2998,740926022170000
4,7512,MOVE,current,831.58984,1751.998,740926023313793
4,7513,MOVE,historical,834.9004,1750.2002,740926030490000
4,7514,MOVE,current,835.4336,1749.9131,740926031627740
4,7515,MOVE,historical,838.4004,1748.2998,740926039322000
4,7516,MOVE,current,838.6455,1748.167,740926039941996
4,7517,MOVE,historical,841.7002,1746.5996,740926047580000
4,7518,MOVE,current,841.9707,1746.4609,740926048256873
4,7519,MOVE,historical,844.2002,1745.4004,740926055969000
4,7520,MOVE,current,844.3799,1745.3135,740926056572356
4,7521,MOVE,historical,846.4004,1744.4004,740926064321000
4,7522,MOVE,current,846.5498,1744.332,740926064888526
4,7523,MOVE,historical,848.0996,1743.5996,740926072726000
4,7524,MOVE,current,848.19727,1743.5547,740926073205373
4,7525,MOVE,historical,849.5,1743.0,740926080938000
4,7526,MOVE,current,849.5996,1742.957,740926081523113
4,7527,MOVE,historical,850.5,1742.5996,740926089405000
4,7528,MOVE,current,850.55176,1742.5791,740926089841818
4,7529,MOVE,historical,851.2002,1742.2002,740926097845000
4,7530,MOVE,current,851.22656,1742.1846,740926098161485
4,7531,MOVE,historical,852.0,1741.9004,740926106232000
4,7532,MOVE,current,852.02344,1741.8906,740926106481741
4,7533,MOVE,historical,852.2998,1741.7998,740926114597000
4,7534,MOVE,current,852.3076,1741.7979,740926114802925
4,7535,MOVE,historical,852.5,1741.7002,740926122955000
4,7536,MOVE,current,852.5039,1741.6982,740926123124100
4,7537,MOVE,historical,852.5996,1741.5996,740927644946000
4,7538,MOVE,historical,854.2998,1741.0996,740927653506000
4,7539,MOVE,current,854.74023,1740.9707,740927655722607
4,7540,MOVE,historical,856.0,1740.4004,740927661705000
4,7541,MOVE,current,857.74414,1739.7578,740927669411328
4,7542,MOVE,historical,857.9004,1739.7002,740927670101000
4,7543,MOVE,current,858.8496,1739.3496,740927674299000
4,7544,MOVE,historical,859.7998,1738.9004,740927678645000
4,7545,MOVE,current,861.70703,1738.083,740927686008932
4,7546,MOVE,historical,861.9004,1738.0,740927686753000
4,7547,MOVE,current,863.5459,1737.3936,740927694321328
4,7548,MOVE,historical,863.7998,1737.2998,740927695491000
4,7549,MOVE,current,864.75,1736.9502,740927699860000
4,7550,MOVE,historical,865.7002,1736.5,740927703716000
4,7551,MOVE,current,867.32715,1735.9004,740927710987994
4,7552,MOVE,historical,867.5996,1735.7998,740927712206000
4,7553,MOVE,current,869.33887,1735.1377,740927719321327
4,7554,MOVE,historical,869.7002,1735.0,740927720799000
4,7555,MOVE,current,870.75,1734.6006,740927725095500
4,7556,MOVE,historical,871.5996,1734.2002,740927729090000
4,7557,MOVE,current,872.5498,1733.7998,740927733235500
4,7558,MOVE,historical,873.5996,1733.5,740927737446000
4,7559,MOVE,current,874.5996,1733.1504,740927741624000
4,7560,MOVE,historical,875.5996,1732.5996,740927746220000
4,7561,MOVE,current,876.5996,1732.1504,740927750607000
4,7562,MOVE,historical,877.7998,1731.7002,740927754501000
4,7563,MOVE,current,878.9004,1731.25,740927758641500
4,7564,MOVE,historical,879.9004,1730.7998,740927762738000
4,7565,MOVE,current,880.9502,1730.3496,740927766856500
4,7566,MOVE,historical,882.0996,1730.0,740927771156000
4,7567,MOVE,current,883.2002,1729.6006,740927775365000
4,7568,MOVE,historical,884.2998,1729.2002,740927779432000
4,7569,MOVE,current,885.4004,1728.7998,740927783570000
4,7570,MOVE,historical,886.2998,1728.4004,740927787702000
4,7571,MOVE,current,887.2998,1728.0,740927791837000
4,7572,MOVE,historical,888.4004,1727.7002,740927796055000
4,7573,MOVE,current,889.4502,1727.3496,740927800231500
4,7574,MOVE,historical,890.5,1726.9004,740927804585000
4,7575,MOVE,current,891.5498,1726.5,740927808850000
4,7576,MOVE,historical,892.4004,1726.2998,740927812843000
4,7577,MOVE,current,893.3496,1726.0,740927816972000
4,7578,MOVE,historical,894.2002,1725.5996,740927821632000
4,7579,MOVE,current,895.0996,1725.25,740927826026500
4,7580,MOVE,historical,895.9004,1724.9004,740927829850000
4,7581,MOVE,current,896.75,1724.5498,740927833959000
4,7582,MOVE,historical,897.5996,1724.2002,740927838209000
4,7583,MOVE,current,898.4502,1723.8496,740927842388500
4,7584,MOVE,historical,899.0,1723.5996,740927846854000
4,7585,MOVE,current,899.7002,1723.2998,740927851176500
4,7586,MOVE,historical,900.4004,1723.0996,740927855162000
4,7587,MOVE,current,901.0996,1722.8496,740927859316000
4,7588,MOVE,historical,901.5996,1722.5996,740927863467000
4,7589,MOVE,current,902.2002,1722.3496,740927867619500
4,7590,MOVE,historical,902.7002,1722.2002,740927871909000
4,7591,MOVE,current,903.25,1722.0,740927876130000
4,7592,MOVE,historical,903.7002,1721.7998,740927880740000
4,7593,MOVE,current,904.2002,1721.5996,740927885155500
4,7594,MOVE,historical,904.5996,1721.5,740927888807000
4,7595,MOVE,current,905.0498,1721.3506,740927892840500
4,7596,MOVE,historical,905.4004,1721.2002,740927897225000
4,7597,MOVE,current,905.7998,1721.0498,740927901434000
4,7598,MOVE,historical,906.2002,1720.9004,740927905473000
4,7599,MOVE,current,906.5996,1720.75,740927909597000
4,7600,MOVE,historical,906.7998,1720.7002,740927914007000
4,7601,MOVE,current,907.0996,1720.5996,740927918274000
4,7602,MOVE,historical,907.2998,1720.5,740927922248000
4,7603,MOVE,current,907.5498,1720.4004,740927926368500
4,7604,MOVE,historical,907.5996,1720.4004,740927930601000
4,7605,MOVE,current,907.75,1720.3496,740927934777500
4,7606,MOVE,historical,907.7998,1720.2998,740927939090000
4,7607,MOVE,current,907.9004,1720.25,740927943334500
4,7608,MOVE,historical,908.0,1720.2998,740927947512000
4,7609,MOVE,current,908.0996,1720.2998,740927951723000
4,7610,UP,current,908.0,1720.2998,740928973424000
5,7611,DOWN,current,1177.7002,2479.9004,740937144343000
5,7612,UP,current,1177.7002,2479.9004,740937152665000
6,7613,DOWN,current,1199.7002,868.7998,740938031198000
6,7614,MOVE,historical,1117.6797,774.95996,740938039466000
6,7615,MOVE,current,1076.6699,728.04004,740938043600000
6,7616,MOVE,historical,1044.0996,705.6797,740938047645000
6,7617,MOVE,current,1007.3096,671.04004,740938051734500
6,7618,MOVE,historical,953.7002,613.2998,740938056148000
6,7619,MOVE,current,908.5,567.11035,740938060399500
6,7620,MOVE,historical,912.9004,562.4004,740938064982000
6,7621,MOVE,current,895.1787,540.292,740938068818994
6,7622,MOVE,historical,882.4004,513.2002,740938073205000
6,7623,MOVE,current,867.7588,489.58203,740938077152327
6,7624,MOVE,historical,865.5996,468.0,740938081364000
6,7625,MOVE,current,857.2002,445.4004,740938085443500
6,7626,MOVE,historical,862.7998,428.0996,740938089907000
6,7627,MOVE,current,861.5176,409.8291,740938093818993
6,7628,MOVE,historical,862.5996,394.2002,740938098846000
6,7629,MOVE,current,862.5303,382.44336,740938101946162
6,7630,MOVE,historical,867.7002,361.2998,740938106554000
6,7631,MOVE,current,870.1494,345.49902,740938110255988
6,7632,MOVE,historical,877.4004,326.2002,740938115313000
6,7633,MOVE,current,881.00195,313.16406,740938118565930
6,7634,MOVE,historical,886.7002,286.5,740938123305000
